delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Zeeshan Maqsood,Dawlat Zadran,0,Khawar Ali,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
0.2,Zeeshan Maqsood,Dawlat Zadran,0,Khawar Ali,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
0.3,Zeeshan Maqsood,Dawlat Zadran,0,Khawar Ali,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
0.4,Zeeshan Maqsood,Dawlat Zadran,0,Khawar Ali,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'Zeeshan Maqsood'}",0.0,0.0,0.0,0.0,0,bowled,Zeeshan Maqsood,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
0.5,Zeeshan Siddiqui,Dawlat Zadran,{'legbyes': 4},Khawar Ali,"{'batsman': 0, 'extras': 4, 'total': 4}",0,0.0,0.0,4.0,0.0,0,0,0,0,0,4,4,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
0.6,Zeeshan Siddiqui,Dawlat Zadran,0,Khawar Ali,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
1.1,Zeeshan Siddiqui,Shapoor Zadran,0,Khawar Ali,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
1.2,Khawar Ali,Shapoor Zadran,0,Zeeshan Siddiqui,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
1.3,Khawar Ali,Shapoor Zadran,0,Zeeshan Siddiqui,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
1.4,Khawar Ali,Shapoor Zadran,0,Zeeshan Siddiqui,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
1.5,Khawar Ali,Shapoor Zadran,0,Zeeshan Siddiqui,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
1.6,Khawar Ali,Shapoor Zadran,0,Zeeshan Siddiqui,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
2.1,Zeeshan Siddiqui,Dawlat Zadran,0,Khawar Ali,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
2.2,Zeeshan Siddiqui,Dawlat Zadran,0,Khawar Ali,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
2.3,Zeeshan Siddiqui,Dawlat Zadran,0,Khawar Ali,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
2.4,Zeeshan Siddiqui,Dawlat Zadran,0,Khawar Ali,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
2.5,Zeeshan Siddiqui,Dawlat Zadran,0,Khawar Ali,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
2.6,Khawar Ali,Dawlat Zadran,0,Zeeshan Siddiqui,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,Dublin,2015-07-25,male,T20,1,Afghanistan,wickets,5,0,0,0,0,Najibullah Zadran,20,Afghanistan,Oman,Afghanistan,field,Clontarf Cricket Club Ground
